id,title,type,release_year,runtime,genres,seasons,imdb_score,tmdb_score
ts41948,Hip Hop Evolution,SHOW,2016,45,"['documentation', 'music']",4.0,8.4,7.3
tm205890,The Take,MOVIE,2016,92,"['action', 'drama', 'crime', 'thriller']",,6.3,6.3
ts37660,Reply 1988,SHOW,2015,71,"['comedy', 'drama', 'family', 'romance']",1.0,9.2,"8,652"
ts52830,Gilmore Girls: A Year in the Life,SHOW,2016,92,"['drama', 'comedy']",1.0,7.5,"7,444"
tm218052,Drishyam,MOVIE,2015,163,"['thriller', 'drama', 'crime']",,8.2,7.8
ts38712,Kabaneri of the Iron Fortress,SHOW,2016,22,"['scifi', 'action', 'animation', 'drama', 'fantasy', 'horror']",2.0,7.2,6.8
tm204035,Spectral,MOVIE,2016,109,"['thriller', 'action', 'scifi']",,6.3,"6,424"
tm270982,Layla M.,MOVIE,2016,98,"['drama', 'european']",,6.6,"6,386"
tm200126,He Never Died,MOVIE,2015,99,"['fantasy', 'horror', 'drama', 'comedy', 'thriller']",,6.3,6.1
ts38764,Marseille,SHOW,2016,42,"['drama', 'european']",2.0,6.9,6.2
tm208713,Gabbar Is Back,MOVIE,2015,130,"['drama', 'action', 'crime', 'comedy']",,7.1,7.1
ts81483,Simon,SHOW,2016,5,"['comedy', 'family', 'animation']",3.0,7.0,7.2
ts56748,T@gged,SHOW,2016,22,"['drama', 'thriller', 'reality']",3.0,7.1,"7,517"
tm219233,Loving,MOVIE,2016,123,"['drama', 'romance']",,7.0,6.7
tm243931,The Beginning of Life,MOVIE,2016,98,"['documentation', 'family']",,7.5,7.6
ts76092,Rosario Tijeras,SHOW,2016,45,"['drama', 'romance', 'thriller', 'action', 'crime']",3.0,6.1,"7,466"
tm238486,Theo Von: No Offense,MOVIE,2016,65,"['comedy', 'documentation']",,5.6,6.2
tm244915,Baaghi,MOVIE,2016,133,"['thriller', 'action', 'romance']",,5.3,6.5
ts35256,Chef's Table,SHOW,2015,50,['documentation'],7.0,8.5,7.8
tm244052,Sebastian Maniscalco: Why Would You Do That?,MOVIE,2016,63,['comedy'],,7.4,7.6
tm246579,Rainbow Time,MOVIE,2016,91,"['comedy', 'drama']",,5.9,6.0
tm134791,Unfriended,MOVIE,2015,83,"['thriller', 'drama', 'horror']",,5.5,5.5
ts42127,The Windsors,SHOW,2016,27,['comedy'],3.0,7.1,6.9
